Name,Year,Salaries,Rank
John Amaechi,2000,,384
Shammond Williams,2000,,385
Doug Overton,2000,,386
Shawnelle Scott,2000,,387
Rick Brunson,2000,,388
Kevin Ollie,2000,,389
Moochie Norris,2000,,390
Tyus Edney,2000,,391
Jeff McInnis,2000,,392
Etdrick Bohannon,2000,,393
Troy Hudson,2000,,394
Roy Rogers,2000,,395
Ryan Bowen,2000,,396
Ansu Sesay,2000,,397
Laron Profit,2000,,398
Adrian Griffin,2000,,399
Earl Boykins,2000,,400
William Cunningham,2000,,401
Mark Pope,2000,,402
Andrae Patterson,2000,,403
Kornel David,2000,,404
Gerard King,2000,,405
Leon Smith,2000,,406
Michael Ruffin,2000,,407
Evan Eschmeyer,2000,,408
Rodney Buford,2000,,409
Michael Hawkins,2000,,410
Lari Ketner,2000,,411
Maceo Baston,2000,,412
Jonathan Kerner,2000,,413
Lazaro Borrell,2000,,414
Jermaine Jackson,2000,,415
Todd MacCulloch,2000,,416
Derrick Dial,2000,,417
Calvin Booth,2000,,418
Obinna Ekezie,2000,,419
Hanno Mottola,2000,,420
Mark Blount,2000,,421
Milt Palacio,2000,,422
Chris Herren,2000,,423
Soumaila Samake,2000,,424
Stephen Jackson,2000,,425
Lee Nailon,2000,,426
Terrance Roberson,2000,,427
AJ Guyton,2000,,428
Jake Voskuhl,2000,,429
Khalid El-Amin,2000,,430
Eduardo Najera,2000,,431
Brian Cardinal,2000,,432
Torraye Braggs,2000,,433
Marc Jackson,2000,,434
Chris Porter,2000,,435
Dan Langhi,2000,,436
Zendon Hamilton,2000,,437
Stanislav Medvedenko,2000,,438
Mike Penberthy,2000,,439
Eddie House,2000,,440
Jason Hart,2000,,441
Michael Redd,2000,,442
Lavor Postell,2000,,443
Pete Mickeal,2000,,444
Olumide Oyedeji,2000,,445
Ruben Wolkowyski,2000,,446
Pepe Sanchez,2000,,447
Ademola Okulaja,2000,,448
Daniel Santiago,2000,,449
Paul McPherson,2000,,450
Ruben Garces,2000,,451
Jabari Smith,2000,,452
Ira Newble,2000,,453
Chris Carrawell,2000,,454
Garth Joseph,2000,,455
Mike Smith,2000,,456
Mark Karcher,2000,,457
Anthony Miller,2000,,458
Jamal Robinson,2000,,459
Kwame Brown,2000,,460
Zeljko Rebraca,2000,,461
Tyson Chandler,2000,,462
Pau Gasol,2000,,463
Eddy Curry,2000,,464
Jason Richardson,2000,,465
Shane Battier,2000,,466
Eddie Griffin,2000,,467
DeSagana Diop,2000,,468
Rodney White,2000,,469
Joe Johnson,2000,,470
Kedrick Brown,2000,,471
Vladimir Radmanovic,2000,,472
Richard Jefferson,2000,,473
Troy Murphy,2000,,474
Steven Hunter,2000,,475
Kirk Haston,2000,,476
Michael Bradley,2000,,477
Jason Collins,2000,,478
Zach Randolph,2000,,479
Michael Jordan,2000,,480
Brendan Haywood,2000,,481
Joseph Forte,2000,,482
Jeryl Sasser,2000,,483
Brandon Armstrong,2000,,484
Andrei Kirilenko,2000,,485
Gerald Wallace,2000,,486
Samuel Dalembert,2000,,487
Jamaal Tinsley,2000,,488
Primoz Brezec,2000,,489
Tony Parker,2000,,490
Mitchell Butler,2000,,491
Victor Alexander,2000,,492
Harold Jamison,2000,,493
Sean Marks,2000,,494
Raja Bell,2000,,495
Charles Smith,2000,,496
Predrag Drobnjak,2000,,497
Steve Goodrich,2000,,498
Wang Zhizhi,2000,,499
Art Long,2000,,500
Jerome James,2000,,501
Amal McCaskill,2000,,502
Terence Morris,2000,,503
Brian Scalabrine,2000,,504
Trenton Hassell,2000,,505
Jeff Trepagnier,2000,,506
Kenny Satterfield,2000,,507
Ratko Varda,2000,,508
Dean Oliver,2000,,509
Gilbert Arenas,2000,,510
Oscar Torres,2000,,511
Tierre Brown,2000,,512
Jamison Brewer,2000,,513
Norm Richardson,2000,,514
Antonis Fotsis,2000,,515
Willie Solomon,2000,,516
Ernest Brown,2000,,517
Malik Allen,2000,,518
Loren Woods,2000,,519
Maurice Evans,2000,,520
Earl Watson,2000,,521
Alvin Jones,2000,,522
Damone Brown,2000,,523
Alton Ford,2000,,524
Ruben Boumtje-Boumtje,2000,,525
Carlos Arroyo,2000,,526
Jarron Collins,2000,,527
Bobby Simmons,2000,,528
Omar Cook,2000,,529
Chris Andersen,2000,,530
Sam Mack,2000,,531
Charlie Bell,2000,,532
Tang Hamilton,2000,,533
Joe Crispin,2000,,534
Dickey Simpkins,2000,,535
Yao Ming,2000,,536
Jay Williams,2000,,537
Mike Dunleavy,2000,,538
Drew Gooden,2000,,539
Nikoloz Tskitishvili,2000,,540
Dajuan Wagner,2000,,541
Nen<U+00A8><U+00BA>,2000,,542
Chris Wilcox,2000,,543
Amare Stoudemire,2000,,544
Marko Jaric,2000,,545
Caron Butler,2000,,546
Jared Jeffries,2000,,547
Cezary Trybanski,2000,,548
Melvin Ely,2000,,549
Marcus Haislip,2000,,550
Gordan Giricek,2000,,551
Fred Jones,2000,,552
Manu Ginobili,2000,,553
Jiri Welsch,2000,,554
Bostjan Nachbar,2000,,555
Juan Dixon,2000,,556
Curtis Borchardt,2000,,557
Ryan Humphrey,2000,,558
Kareem Rush,2000,,559
Mehmet Okur,2000,,560
Qyntel Woods,2000,,561
Casey Jacobsen,2000,,562
Tayshaun Prince,2000,,563
Efthimios Rentzias,2000,,564
Frank Williams,2000,,565
Chris Jefferies,2000,,566
Dan Dickau,2000,,567
John Salmons,2000,,568
Juaquin Hawkins,2000,,569
Raul Lopez,2000,,570
Mengke Bateer,2000,,571
Tremaine Fowlkes,2000,,572
Mike James,2000,,573
JR Bremer,2000,,574
Tamar Slay,2000,,575
Lonny Baxter,2000,,576
Roger Mason,2000,,577
Carlos Boozer,2000,,578
Smush Parker,2000,,579
Junior Harrington,2000,,580
Predrag Savovic,2000,,581
Vincent Yarbrough,2000,,582
Tito Maddox,2000,,583
Jannero Pargo,2000,,584
Chris Owens,2000,,585
Mike Batiste,2000,,586
Robert Archibald,2000,,587
Ken Johnson,2000,,588
Rasual Butler,2000,,589
Sean Lampley,2000,,590
Dan Gadzuric,2000,,591
Jamal Sampson,2000,,592
Ronald Murray,2000,,593
Igor Rakocevic,2000,,594
Reggie Evans,2000,,595
Pat Burke,2000,,596
Sam Clancy,2000,,597
Nate Huffman,2000,,598
