Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
7T;John Wall;26;WAS;0;7;1010;7;78;36.4;23.1;4.2;10.7;2;0.6;451;327;801;8.8;149;2017
9T;Anthony Davis;23;NOP;0;2;1010;2;75;36.1;28;11.8;2.1;1.3;2.2;505;299;802;11;195;2017
9T;Kevin Durant;28;GSW;0;2;1010;2;62;33.4;25.1;8.3;4.8;1.1;1.6;537;375;875;12;278;2017
11;DeMar DeRozan;27;TOR;0;1;1010;1;74;35.4;27.3;5.2;3.9;1.1;0.2;467;266;842;9;166;2017
1;James Harden;28;HOU;86;965;1010;955;72;35.4;30.4;5.4;8.8;1.8;0.7;449;367;858;15.4;289;2018
2;LeBron James;33;CLE;15;738;1010;731;82;36.9;27.5;8.6;9.1;1.4;0.9;542;367;731;14;221;2018
3;Anthony Davis;24;NOP;0;445;1010;441;75;36.4;28.1;11.1;2.3;1.5;2.6;534;0.34;828;13.7;241;2018
4;Damian Lillard;27;POR;0;207;1010;205;73;36.6;26.9;4.5;6.6;1.1;0.4;439;361;916;12.6;227;2018
5;Russell Westbrook;29;OKC;0;76;1010;75;80;36.4;25.4;10.1;10.3;1.8;0.3;449;298;737;10.1;166;2018
6;Giannis Antetokounmpo;23;MIL;0;75;1010;74;75;36.7;26.9;10;4.8;1.5;1.4;529;307;0.76;11.9;207;2018
7;Kevin Durant;29;GSW;0;66;1010;65;68;34.2;26.4;6.8;5.4;0.7;1.8;516;419;889;10.4;215;2018
8;DeMar DeRozan;28;TOR;0;32;1010;32;80;33.9;23;3.9;5.2;1.1;0.3;456;0.31;825;9.6;0.17;2018
9;LaMarcus Aldridge;32;SAS;0;6;1010;6;75;33.5;23.1;8.5;2;0.6;1.2;0.51;293;837;10.9;209;2018
10T;Jimmy Butler;28;MIN;0;5;1010;5;59;36.7;22.2;5.3;4.9;2;0.4;474;0.35;854;8.9;198;2018
10T;Stephen Curry;29;GSW;0;5;1010;5;51;32;26.4;5.1;6.1;1.6;0.2;495;423;921;9.1;267;2018
12;Joel Embiid;23;PHI;0;4;1010;4;63;30.3;22.9;11;3.2;0.6;1.8;483;308;769;6.2;155;2018
13;Victor Oladipo;25;IND;0;2;1010;2;75;34;23.1;5.2;4.3;2.4;0.8;477;371;799;8.2;155;2018
1;Giannis Antetokounmpo;24;MIL;78;941;1010;932;72;32.8;27.7;12.5;5.9;1.3;1.5;578;256;729;14.4;292;2019
2;James Harden;29;HOU;23;776;1010;768;78;36.8;36.1;6.6;7.5;2;0.7;442;368;879;15.2;254;2019
3;Paul George;28;OKC;0;356;1010;352;77;36.9;28;8.2;4.1;2.2;0.4;438;386;839;11.9;201;2019
4;Nikola Joki?;23;DEN;0;212;1010;0.21;80;31.3;20.1;10.8;7.3;1.4;0.7;511;307;821;11.8;226;2019
5;Stephen Curry;30;GSW;0;175;1010;173;69;33.8;27.3;5.3;5.2;1.3;0.4;472;437;916;9.7;199;2019
6;Damian Lillard;28;POR;0;69;1010;68;80;35.5;25.8;4.6;6.9;1.1;0.4;444;369;912;12.1;205;2019
7;Joel Embiid;24;PHI;0;49;1010;49;64;33.7;27.5;13.6;3.7;0.7;1.9;484;0.3;804;8.7;194;2019
8;Kevin Durant;30;GSW;0;25;1010;25;78;34.6;26;6.4;5.9;0.7;1.1;521;353;885;11.5;204;2019
9;Kawhi Leonard;27;TOR;0;13;1010;13;60;34;26.6;7.3;3.3;1.8;0.4;496;371;854;9.5;224;2019
10;Russell Westbrook;30;OKC;0;8;1010;8;73;36;22.9;11.1;10.7;1.9;0.5;428;0.29;656;6.8;124;2019
11T;Rudy Gobert;26;UTA;0;1;1010;1;81;31.8;15.9;12.9;2;0.8;2.3;669;0;636;14.4;268;2019
11T;LeBron James;34;LAL;0;1;1010;1;55;35.2;27.4;8.5;8.3;1.3;0.6;0.51;339;665;7.2;179;2019
1;Giannis Antetokounmpo;25;MIL;85;962;1010;952;63;30.4;29.5;13.6;5.6;1;1;553;304;633;11.1;279;2020
2;LeBron James;35;LAL;16;753;1010;746;67;34.6;25.3;7.8;10.2;1.2;0.5;493;348;693;9.8;204;2020
3;James Harden;30;HOU;0;367;1010;363;68;36.5;34.3;6.6;7.5;1.8;0.9;444;355;865;13.1;254;2020
4;Luka Don?i?;20;DAL;0;200;1010;198;61;33.6;28.8;9.4;8.8;1;0.2;463;316;758;8.8;207;2020
5;Kawhi Leonard;28;LAC;0;168;1010;166;57;32.4;27.1;7.1;4.9;1.8;0.6;0.47;378;886;8.7;226;2020
6;Anthony Davis;26;LAL;0;82;1010;81;62;34.4;26.1;9.3;3.2;1.5;2.3;503;0.33;846;11.1;0.25;2020
7;Chris Paul;34;OKC;0;26;1010;26;70;31.5;17.6;5;6.7;1.6;0.2;489;365;907;8.9;193;2020
8;Damian Lillard;29;POR;0;23;1010;23;66;37.5;30;4.3;8;1.1;0.3;463;401;888;11.6;225;2020
9;Nikola Joki?;24;DEN;0;18;1010;18;73;32;19.9;9.7;7;1.2;0.6;528;314;817;9.8;202;2020
10;Pascal Siakam;25;TOR;0;17;1010;17;60;35.2;22.9;7.3;3.5;1;0.9;453;359;792;5.4;123;2020
11;Jimmy Butler;30;MIA;0;9;1010;9;58;33.8;19.9;6.7;6;1.8;0.6;455;244;834;9;221;2020
12;Jayson Tatum;21;BOS;0;1;1010;1;66;34.3;23.4;7;3;1.4;0.9;0.45;403;812;6.9;146;2020
1;Nikola Joki?;25;DEN;91;971;1010;961;72;34.6;26.4;10.8;8.3;1.3;0.7;566;388;868;15.6;301;2021
2;Joel Embiid;26;PHI;1;586;1010;0.58;51;31.1;28.5;10.6;2.8;1;1.4;513;377;859;8.8;266;2021
3;Stephen Curry;32;GSW;5;453;1010;449;63;34.2;32;5.5;5.8;1.2;0.1;482;421;916;9;201;2021
4;Giannis Antetokounmpo;26;MIL;1;348;1010;345;61;33;28.1;11;5.9;1.2;1.2;569;303;685;10.2;244;2021
5;Chris Paul;35;PHO;2;139;1010;138;70;31.4;16.4;4.5;8.9;1.4;0.3;499;395;934;9.2;201;2021
6;Luka Don?i?;21;DAL;0;42;1010;42;66;34.3;27.7;8;8.6;1;0.5;479;0.35;0.73;7.7;163;2021
7;Damian Lillard;30;POR;0;38;1010;38;67;35.8;28.8;4.2;7.5;0.9;0.3;451;391;928;10.4;209;2021
8;Julius Randle;26;NYK;0;20;1010;0.02;71;37.6;24.1;10.2;6;0.9;0.3;456;411;811;7.8;0.14;2021
9;Derrick Rose;32;TOT;1;10;1010;0.01;50;25.6;14.7;2.6;4.2;1;0.4;0.47;388;866;3.1;118;2021
10;Rudy Gobert;28;UTA;0;8;1010;8;71;30.8;14.3;13.5;1.3;0.6;2.7;675;0;623;11.3;248;2021
11;Russell Westbrook;32;WAS;0;5;1010;5;65;36.4;22.2;11.5;11.7;1.4;0.4;439;315;656;3.7;75;2021
12;Ben Simmons;24;PHI;0;3;1010;3;58;32.4;14.3;7.2;6.9;1.6;0.6;557;0.3;613;6;153;2021
13T;James Harden;31;TOT;0;1;1010;1;44;36.6;24.6;7.9;10.8;1.2;0.8;466;362;861;7;208;2021
13T;LeBron James;36;LAL;0;1;1010;1;45;33.4;25;7.7;7.8;1.1;0.6;513;365;698;5.6;179;2021
13T;Kawhi Leonard;29;LAC;0;1;1010;1;52;34.1;24.8;6.5;5.2;1.6;0.4;512;398;885;8.8;238;2021
